iter	Passed	Remaining
446	5101	6014
447	5111	6001
448	5119	5986
449	5130	5974
450	5140	5960
451	5151	5949
452	5160	5935
453	5168	5919
454	5177	5906
455	5187	5892
456	5197	5879
457	5208	5867
458	5219	5856
459	5229	5843
460	5241	5832
461	5249	5818
462	5261	5806
463	5270	5792
464	5278	5777
465	5286	5762
466	5294	5747
467	5302	5733
468	5310	5718
469	5318	5703
470	5326	5687
471	5334	5673
472	5341	5657
473	5350	5644
474	5359	5630
475	5367	5615
476	5377	5602
477	5385	5588
478	5393	5573
479	5402	5559
480	5411	5546
481	5419	5532
482	5428	5517
483	5436	5503
484	5443	5488
485	5451	5473
486	5460	5460
487	5468	5446
488	5476	5431
489	5483	5416
490	5491	5401
491	5498	5386
492	5506	5372
493	5515	5358
494	5522	5343
495	5532	5331
496	5541	5318
497	5550	5305
498	5558	5291
499	5567	5278
500	5577	5265
501	5585	5252
502	5594	5238
503	5601	5223
504	5610	5210
505	5619	5197
506	5627	5183
507	5635	5169
508	5644	5156
509	5652	5143
510	5661	5129
511	5671	5117
512	5679	5103
513	5689	5091
514	5698	5078
515	5708	5066
516	5717	5053
517	5726	5041
518	5736	5028
519	5744	5015
520	5753	5002
521	5762	4990
522	5771	4976
523	5779	4962
524	5787	4949
525	5797	4937
526	5805	4924
527	5813	4910
528	5822	4898
529	5831	4884
530	5839	4871
531	5847	4858
532	5855	4845
533	5864	4832
534	5872	4818
535	5881	4805
536	5889	4792
537	5897	4779
538	5905	4765
539	5913	4752
540	5922	4739
541	5930	4726
542	5939	4714
543	5950	4703
544	5959	4691
545	5967	4677
546	5981	4669
547	5996	4661
548	6009	4651
549	6018	4639
550	6028	4627
551	6037	4615
552	6047	4604
553	6055	4591
554	6066	4580
555	6077	4568
556	6086	4556
557	6094	4543
558	6102	4530
559	6110	4517
560	6118	4504
561	6126	4491
562	6133	4477
563	6141	4464
564	6149	4451
565	6157	4438
566	6164	4425
567	6173	4412
568	6181	4400
569	6191	4388
570	6201	4376
571	6211	4365
572	6223	4355
573	6241	4349
574	6252	4338
575	6264	4328
576	6275	4317
577	6286	4306
578	6299	4297
579	6309	4286
580	6321	4275
581	6336	4268
582	6352	4260
583	6364	4250
584	6378	4241
585	6390	4231
586	6412	4227
587	6424	4217
588	6439	4208
589	6450	4198
590	6460	4186
591	6471	4175
592	6482	4164
593	6491	4152
594	6502	4141
595	6514	4131
596	6530	4123
597	6544	4114
598	6558	4106
599	6584	4104
600	6599	4096
601	6612	4086
602	6625	4076
603	6636	4065
604	6646	4053
605	6655	4041
606	6666	4030
607	6678	4020
608	6690	4009
609	6702	3999
610	6713	3988
611	6723	3976
612	6733	3965
613	6745	3954
614	6755	3943
615	6764	3931
616	6775	3920
617	6783	3907
618	6793	3895
619	6802	3883
620	6813	3873
621	6824	3861
622	6834	3850
623	6844	3838
624	6853	3827
625	6864	3815
626	6874	3804
627	6888	3795
628	6901	3785
629	6913	3775
630	6924	3764
631	6935	3752
632	6946	3742
633	6956	3730
634	6966	3719
635	6977	3708
636	6988	3697
637	6997	3685
638	7008	3674
639	7019	3663
640	7029	3651
641	7040	3640
642	7050	3629
643	7059	3617
644	7070	3606
645	7081	3595
646	7091	3584
647	7103	3573
648	7118	3564
649	7129	3553
650	7138	3541
651	7149	3530
652	7158	3518
653	7167	3506
654	7176	3494
655	7186	3483
656	7196	3472
657	7206	3460
658	7215	3449
659	7224	3437
660	7232	3424
661	7241	3412
662	7249	3400
663	7257	3388
664	7266	3376
665	7274	3364
666	7283	3352
667	7292	3340
668	7301	3329
669	7312	3317
670	7322	3306
671	7331	3294
672	7339	3282
673	7347	3270
674	7355	3258
675	7364	3246
676	7372	3234
677	7380	3222
678	7389	3210
679	7399	3199
680	7407	3187
681	7415	3175
682	7423	3162
683	7431	3150
684	7439	3138
685	7447	3126
686	7454	3114
687	7463	3102
688	7470	3090
689	7478	3078
690	7486	3065
691	7494	3053
692	7501	3041
693	7509	3029
694	7518	3018
695	7527	3006
696	7536	2995
697	7544	2983
698	7553	2971
699	7561	2959
700	7570	2948
701	7579	2936
702	7588	2925
703	7597	2913
704	7605	2902
705	7614	2890
706	7623	2879
707	7632	2867
708	7641	2856
709	7649	2844
710	7658	2832
711	7666	2820
712	7674	2809
713	7683	2797
714	7692	2786
715	7700	2774
716	7709	2763
717	7718	2752
718	7726	2740
719	7735	2728
720	7743	2717
721	7753	2706
722	7762	2694
723	7771	2683
724	7780	2672
725	7789	2660
726	7798	2649
727	7807	2638
728	7816	2626
729	7824	2615
730	7832	2603
731	7840	2592
732	7848	2580
733	7856	2568
734	7864	2557
735	7872	2545
736	7880	2534
737	7888	2522
738	7896	2511
739	7907	2500
740	7917	2489
741	7927	2478
742	7938	2468
743	7949	2457
744	7958	2446
745	7967	2435
746	7976	2424
747	7985	2412
748	7995	2401
749	8009	2392
750	8021	2381
751	8035	2372
752	8046	2361
753	8055	2350
754	8065	2339
755	8080	2330
756	8091	2319
757	8102	2308
758	8117	2299
759	8131	2289
760	8147	2280
761	8162	2270
762	8180	2262
763	8195	2252
764	8212	2243
765	8228	2234
766	8240	2223
767	8254	2214
768	8267	2203
769	8278	2193
770	8292	2183
771	8305	2173
772	8316	2162
773	8331	2152
774	8344	2142
775	8355	2132
776	8371	2122
777	8383	2112
778	8395	2101
779	8406	2090
780	8417	2080
781	8429	2069
782	8444	2059
783	8459	2050
784	8469	2039
785	8479	2028
786	8490	2017
787	8498	2006
788	8511	1995
789	8523	1985
790	8536	1974
791	8549	1964
792	8559	1953
793	8568	1942
794	8579	1931
795	8602	1923
796	8629	1916
797	8658	1909
798	8681	1901
799	8712	1894
800	8733	1886
801	8751	1876
802	8769	1867
803	8795	1859
804	8821	1851
805	8848	1844
806	8859	1833
807	8870	1822
808	8884	1812
809	8896	1801
810	8909	1790
811	8919	1779
812	8938	1770
813	8951	1759
814	8960	1748
815	8973	1737
816	8988	1727
817	8998	1716
818	9008	1704
819	9019	1693
820	9031	1683
821	9041	1671
822	9053	1661
823	9067	1650
824	9081	1640
825	9094	1629
826	9106	1618
827	9115	1607
828	9127	1596
829	9137	1585
830	9149	1574
831	9158	1563
832	9169	1552
833	9178	1540
834	9188	1529
835	9198	1518
836	9208	1507
837	9218	1496
838	9228	1484
839	9237	1473
840	9250	1462
841	9260	1451
842	9270	1440
843	9283	1429
844	9293	1418
845	9302	1407
846	9312	1396
847	9324	1385
848	9335	1374
849	9346	1363
850	9355	1352
851	9365	1341
852	9376	1330
853	9388	1319
854	9398	1308
855	9409	1297
856	9421	1286
857	9430	1275
858	9442	1264
859	9451	1252
860	9463	1242
861	9472	1230
862	9483	1219
863	9493	1208
864	9504	1197
865	9514	1186
866	9525	1175
867	9535	1164
868	9546	1153
869	9557	1142
870	9567	1131
871	9576	1120
872	9587	1109
873	9597	1098
874	9606	1086
875	9616	1075
876	9624	1064
877	9635	1053
878	9646	1042
879	9654	1031
880	9665	1020
881	9672	1008
882	9683	997
883	9692	986
884	9701	975
885	9711	964
886	9720	953
887	9729	942
888	9739	931
889	9748	920
890	9756	908
891	9763	897
892	9771	886
893	9779	875
894	9788	863
895	9795	852
896	9802	841
897	9809	830
898	9817	819
899	9825	807
900	9832	796
901	9841	785
902	9849	774
903	9858	763
904	9867	752
905	9876	741
906	9883	730
907	9891	718
908	9898	707
909	9905	696
910	9913	685
911	9922	674
912	9929	663
913	9939	652
914	9948	641
915	9958	630
916	9969	619
917	9978	608
918	9987	597
919	9998	586
920	10006	575
921	10015	564
922	10022	553
923	10032	542
924	10041	531
925	10050	520
926	10059	510
927	10066	498
928	10075	488
929	10083	477
930	10093	466
931	10101	455
932	10108	444
933	10115	433
934	10123	422
935	10130	411
936	10139	400
937	10147	389
938	10154	378
939	10161	367
940	10169	356
941	10176	345
942	10184	334
943	10192	323
944	10200	313
945	10207	302
946	10215	291
947	10223	280
948	10230	269
949	10237	258
950	10244	247
951	10251	236
952	10259	226
953	10267	215
954	10276	204
955	10284	193
956	10291	182
957	10299	172
958	10307	161
959	10315	150
960	10324	139
961	10333	128
962	10341	118
963	10350	107
964	10358	96
965	10367	85
966	10374	75
967	10382	64
968	10389	53
969	10396	42
970	10404	32
971	10411	21
972	10418	10
973	10426	0
