iter	Logloss
0	0.573233906
1	0.4864415313
2	0.4277506227
3	0.3929509696
4	0.3645152225
5	0.3425278718
6	0.3328372975
7	0.3220021489
8	0.314727903
9	0.3072365533
10	0.3011828318
11	0.2935805876
12	0.2799142743
13	0.2723696559
14	0.2700346545
15	0.2670040208
16	0.2649715278
17	0.263133581
18	0.2611480845
19	0.2561252199
20	0.2550652454
21	0.2509335617
22	0.2490453141
23	0.2475389178
24	0.2455667411
25	0.2431202062
26	0.242058548
27	0.238947548
28	0.2376947488
29	0.234786238
30	0.2333231829
31	0.2298981287
32	0.2282594615
33	0.2258468766
34	0.2244555743
35	0.2216885281
36	0.2174531984
37	0.2170726977
38	0.2157580782
39	0.2150289111
40	0.2141499044
41	0.2129138963
42	0.2125790289
43	0.2098795244
44	0.2090020867
45	0.2085524648
46	0.2078895782
47	0.207262981
48	0.2065504053
49	0.2063149865
50	0.2048599618
51	0.2043237456
52	0.2040309101
53	0.2025404441
54	0.2023705985
55	0.2018919345
56	0.2003591057
57	0.2000872913
58	0.1998527869
59	0.1971289433
60	0.1967974306
61	0.1959574878
62	0.1958047066
63	0.1953228561
64	0.1948188662
65	0.1945338677
66	0.1942523773
67	0.1935162266
68	0.193192636
69	0.1917732807
70	0.1912229879
71	0.1895150577
72	0.1891676924
73	0.188009232
74	0.1866928617
75	0.1859306032
76	0.1853504466
77	0.185029146
78	0.1846315211
79	0.1836868413
80	0.1827052017
81	0.1813586837
82	0.1803479999
83	0.1797971417
84	0.1795809144
85	0.1792351361
86	0.1786485098
87	0.1778674068
88	0.1774065911
89	0.1770357854
90	0.1765397807
91	0.1762920595
92	0.17587188
93	0.1753049885
94	0.1746342975
95	0.1742302712
96	0.1739702107
97	0.1727204351
98	0.1725064305
99	0.1717212592
100	0.1710978348
101	0.1708513937
102	0.1701115941
103	0.1698630069
104	0.1696410803
105	0.1694877977
106	0.1692615653
107	0.1690863578
108	0.1689320715
109	0.1687852944
110	0.1686381798
111	0.1683915033
112	0.1679666208
113	0.1675044326
114	0.1669726156
115	0.1666562924
116	0.1661469448
117	0.1657032912
118	0.1650507523
119	0.1644612348
120	0.1642481645
121	0.1637972131
122	0.1635153496
123	0.1632349038
124	0.1630689793
125	0.1629228243
126	0.1627931945
127	0.1626507767
128	0.1625087025
129	0.1617690049
130	0.161371629
131	0.1609919123
132	0.1605546148
133	0.1602932911
134	0.1597606996
135	0.1586099563
136	0.1584136362
137	0.1582633814
138	0.1581360216
139	0.1578686318
140	0.1577326564
141	0.1572958918
142	0.157095888
143	0.1567024248
144	0.1562787152
145	0.1561935596
146	0.1560829626
147	0.1559854436
148	0.155828778
149	0.1556999511
150	0.1551721761
151	0.1550007025
152	0.1547902303
153	0.1546745245
154	0.1544422912
155	0.1541843579
156	0.1539833578
157	0.1538663773
158	0.1534929694
159	0.1533816671
160	0.1530525601
161	0.1527466939
162	0.1525633225
163	0.1523057328
164	0.1521129355
165	0.1517121219
166	0.1516065536
167	0.151387617
168	0.151270194
169	0.1511039006
170	0.1506451228
171	0.1505558496
172	0.1504824079
173	0.1502061354
174	0.1498218607
175	0.1497328776
176	0.149440701
177	0.1492888057
178	0.1490038397
179	0.1488277126
180	0.1486848187
181	0.148605292
182	0.1485227764
183	0.1484367748
184	0.1480904112
185	0.1478199494
186	0.1476051892
187	0.1474017457
188	0.1472864078
189	0.147070458
190	0.146740362
191	0.1466363418
192	0.1465504327
193	0.14643411
194	0.1461325085
195	0.1459475481
196	0.1457544008
197	0.1455478496
198	0.1454394606
199	0.145288033
200	0.1452079777
201	0.1449587883
202	0.1445397018
203	0.1443489401
204	0.144117371
205	0.1437742011
206	0.1434735182
207	0.1434149874
208	0.1433125437
209	0.1431311218
210	0.1429901417
211	0.1429005522
212	0.1428250717
213	0.142701178
214	0.1425658656
215	0.142513051
216	0.1423699638
217	0.1422437642
218	0.1421640673
219	0.1419459567
220	0.1418371368
221	0.1417366257
222	0.1415022548
223	0.1414079475
224	0.1412363237
225	0.1411712802
226	0.141062598
227	0.1409865458
228	0.1408332926
229	0.1407048808
230	0.1406211462
231	0.140528367
232	0.1404516873
233	0.1401975153
234	0.14010828
235	0.1397905053
236	0.1397400564
237	0.1395498287
238	0.139483421
239	0.1393615683
240	0.1392851566
241	0.1391931877
242	0.1391013113
243	0.1390150585
244	0.138903214
245	0.1387255272
246	0.1386547602
247	0.1384920201
248	0.1382743478
249	0.1381757757
250	0.1380758774
251	0.1379453952
252	0.1378587284
253	0.1377833834
254	0.1377164755
255	0.1376312044
256	0.1375391871
257	0.1374063519
258	0.137328533
259	0.1372434531
260	0.1369952243
261	0.1368610091
262	0.13676487
263	0.1366554227
264	0.1365845033
265	0.1363569667
266	0.136241241
267	0.1361675398
268	0.136019224
269	0.1359344804
270	0.1358528739
271	0.135772374
272	0.1356590592
273	0.135583709
274	0.1355125122
275	0.1352789158
276	0.1352378109
277	0.1350445101
278	0.1349826479
279	0.1348729095
280	0.1346151558
281	0.1345020134
282	0.1343402233
283	0.1342721415
284	0.1342030676
285	0.1341046606
286	0.1340167441
287	0.1339470081
288	0.1338278784
289	0.1336931283
290	0.1336407541
291	0.1335722151
292	0.1334932738
293	0.133371688
294	0.1333090134
295	0.13300399
296	0.1329297443
297	0.1328410817
298	0.1327068256
299	0.1326152802
300	0.1325588104
301	0.1324852174
302	0.1323883773
303	0.1323220012
304	0.1322492301
305	0.1321958322
306	0.1321022753
307	0.132050621
308	0.1319832422
309	0.1319264424
310	0.131860204
311	0.1317925373
312	0.1316788736
313	0.1316321156
314	0.1315610702
315	0.1314637298
316	0.1314096141
317	0.1313520902
318	0.1312816743
319	0.1312283541
320	0.1311800996
321	0.1310835486
322	0.1310283704
323	0.1309756546
324	0.1308705035
325	0.1308009788
326	0.1307131885
327	0.130637048
328	0.1305223974
329	0.1304733105
330	0.1303381001
331	0.1302386411
332	0.1301784561
333	0.1301206085
334	0.1300683825
335	0.1299384205
336	0.1297850297
337	0.1296947034
338	0.1295793119
339	0.1295201496
340	0.1294376771
341	0.1293496303
342	0.1292487357
343	0.1291762325
344	0.1291132468
345	0.1290098782
346	0.1288152669
347	0.1286939543
348	0.1286477124
349	0.1285748981
350	0.1284956027
351	0.1284471148
352	0.1283542778
353	0.1283114525
354	0.1282334119
355	0.1281816766
356	0.1281216378
357	0.1280083944
358	0.1279388508
359	0.1277862292
360	0.1277483697
361	0.1276617985
362	0.1275901067
363	0.1274676748
364	0.1274233971
365	0.1272494717
366	0.1271774583
367	0.1271219291
368	0.1270372822
369	0.1269647317
370	0.1269106833
371	0.1268641744
372	0.1267351216
373	0.1266115989
374	0.1264819407
375	0.1263443288
376	0.1262883393
377	0.1261565466
378	0.1261078844
379	0.126054353
380	0.1259933883
381	0.1258783583
382	0.1258066623
383	0.1257462125
384	0.1256234601
385	0.1255681779
386	0.1255126266
387	0.1254562986
388	0.1253775497
389	0.1253125146
390	0.1252717649
391	0.125176392
392	0.1250602448
393	0.1249953453
394	0.1249288694
395	0.1248703355
396	0.1247929139
397	0.1247513876
398	0.1246869641
399	0.1246222559
400	0.1245743766
401	0.1245443204
402	0.124480743
403	0.1244058457
404	0.1243029847
405	0.1242561311
406	0.1241274577
407	0.1240277275
408	0.123990137
409	0.123931703
410	0.1238484422
411	0.123767645
412	0.1236851819
413	0.1236310757
414	0.1235316681
415	0.1234873652
416	0.1234287483
417	0.1233612267
418	0.1232822486
419	0.1231835304
420	0.1231064409
421	0.123051908
422	0.1229936821
423	0.1229433603
424	0.1228934674
425	0.1228197094
426	0.1227718878
427	0.1226977042
428	0.1226453878
429	0.1225788603
430	0.1224963227
431	0.122432822
432	0.1223650628
433	0.1222551909
434	0.122180217
435	0.1221352992
436	0.1220387377
437	0.1219834334
438	0.1219330832
439	0.1218117391
440	0.1217551873
441	0.1217072334
442	0.1216190784
443	0.1215674619
444	0.1214848055
445	0.1214340486
446	0.1213623326
447	0.1213175568
448	0.1212783468
449	0.1212206484
450	0.1211423639
451	0.121056417
452	0.1209852454
453	0.1209129009
454	0.1207965552
455	0.1207186963
456	0.1206394587
457	0.1205989076
458	0.1205544765
459	0.1204967266
460	0.1204237737
461	0.1203833981
462	0.1203107195
463	0.120246172
464	0.1201964546
465	0.1201536818
466	0.120091127
467	0.1200259994
468	0.1199734854
469	0.1199196314
470	0.1198830562
471	0.1198154641
472	0.1197789929
473	0.1197230401
474	0.1196957731
475	0.1196427788
476	0.119582822
477	0.1195480722
478	0.1194384042
479	0.1193628827
480	0.1191996287
481	0.1191308438
482	0.1190596858
483	0.119005588
484	0.1188558703
485	0.1188224416
486	0.1187773956
487	0.1187304937
488	0.1186663235
489	0.1185920285
490	0.1185271721
491	0.1184858686
492	0.118411871
493	0.1183498017
494	0.1183051918
495	0.1182753027
496	0.1182078116
497	0.1181558409
498	0.118117191
499	0.1180741755
500	0.1180338179
501	0.1179986246
502	0.1179481526
503	0.1178995323
504	0.1178573565
505	0.1178190335
506	0.1177711111
507	0.1177227053
508	0.1176718843
509	0.1175904869
510	0.1175553799
511	0.1175152639
512	0.1174507596
513	0.1174041256
514	0.1173468077
515	0.117295868
516	0.1172557983
517	0.1171461019
518	0.1170934313
519	0.117065498
520	0.1170132278
521	0.1169731749
522	0.1169321121
523	0.1168637917
524	0.1168130601
525	0.1167654204
526	0.1166918053
527	0.1165699442
528	0.1164860413
529	0.1164178828
530	0.1163635664
531	0.1162070942
532	0.1161620661
533	0.116107736
534	0.1160651724
535	0.1160018714
536	0.1159321133
537	0.1158849949
538	0.1158251778
539	0.1157696549
540	0.115723311
541	0.1156698427
542	0.1156426871
543	0.1155913848
